Date,Number of Records,Stock,Stock Value
4/1/2016,1,Mdlz,42.415478
5/2/2016,1,Mdlz,43.92609
6/1/2016,1,Mdlz,45.118515
7/1/2016,1,Mdlz,43.601677
8/1/2016,1,Mdlz,44.632732
9/1/2016,1,Mdlz,43.714809
10/3/2016,1,Mdlz,44.75042
11/1/2016,1,Mdlz,41.066032
12/1/2016,1,Mdlz,44.330002
1/3/2017,1,Mdlz,44.43
1/3/2007,1,Msft,24.118483
2/1/2007,1,Msft,22.092464
3/1/2007,1,Msft,21.857189
4/2/2007,1,Msft,23.480597
5/1/2007,1,Msft,24.146753
6/1/2007,1,Msft,23.186863
7/2/2007,1,Msft,22.809202
8/1/2007,1,Msft,22.683865
9/4/2007,1,Msft,23.260239
10/1/2007,1,Msft,29.063457
11/1/2007,1,Msft,26.616703
12/3/2007,1,Msft,28.201029
1/2/2008,1,Msft,25.824539
2/1/2008,1,Msft,21.630577
3/3/2008,1,Msft,22.56896
4/1/2008,1,Msft,22.680296
5/1/2008,1,Msft,22.604156
6/2/2008,1,Msft,21.95764
7/1/2008,1,Msft,20.528915
8/1/2008,1,Msft,21.868919
9/2/2008,1,Msft,21.388107
