FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,WA,500,0,67,,,,,53,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,50000US5306,"Congressional District 6 (114th Congress), Washington",,,
ACSSF,WA,500,0,68,,,,,53,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,50000US5307,"Congressional District 7 (114th Congress), Washington",,,
ACSSF,WA,500,0,69,,,,,53,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,50000US5308,"Congressional District 8 (114th Congress), Washington",,,
ACSSF,WA,500,0,70,,,,,53,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,50000US5309,"Congressional District 9 (114th Congress), Washington",,,
ACSSF,WA,500,0,71,,,,,53,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,50000US5310,"Congressional District 10 (114th Congress), Washington",,,
ACSSF,WA,795,0,72,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10100,,79500US5310100,"Whatcom County--Bellingham City PUMA, Washington",,,
ACSSF,WA,795,0,73,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10200,,79500US5310200,"Skagit, Island & San Juan Counties PUMA; Washington",,,
ACSSF,WA,795,0,74,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10300,,79500US5310300,"Chelan & Douglas Counties PUMA, Washington",,,
ACSSF,WA,795,0,75,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10400,,79500US5310400,"Stevens, Okanogan, Pend Oreille & Ferry Counties PUMA; Washington",,,
ACSSF,WA,795,0,76,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10501,,79500US5310501,"Spokane County (North Central)--Spokane City (North) PUMA, Washington",,,
ACSSF,WA,795,0,77,,,,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10502,,79500US5310502,"Spokane County (South Central)--Spokane City (South) PUMA, Washington",,,
