OID,IDTRSD,TreeSpecie,TreeDBH
388,07S2619NL,YELLOW PINE,45
389,07S2619WL,PINE,37
390,07S2621WL,WESTERN LARCH,24
391,07S2623NL,YELLOW PINE,37
392,07S2624EL,PINE,33
393,07S2625WL,PINE,31
394,07S2626NL,PINE,40
395,07S2626WL,WHITE PINE,42
396,07S2631WL,JUNIPER,14
397,07S2632WL,PINE,30
398,07S2633NL,PINE,40
399,07S2634NL,PINE,45
400,07S2634WL,PINE,38
401,07S2635NL,YELLOW PINE,40
402,07S2635WL,WHITE PINE,36
403,07S2636EL,PINE,32
404,07S2715WL,PINE,20
405,07S2906WL,PINE,30
406,07S3117WL,FIR,48
407,07S3132NL,PINE,4
408,07S3218WL,PINE,24
409,07S3235WL,YELLOW PINE,36
410,07S3330WL,YELLOW PINE,24
411,07S3414WL,WESTERN LARCH,18
412,07S3415WL,WESTERN LARCH,30
413,07S3422WL,PINE,36
414,07S3427WL,PINE,30
415,07S3428WL,PINE,36
416,08N4120WL,YELLOW PINE,50
417,08N4101EL,FIR,20
418,08N4107WL,FIR,12
419,08N4113EL,RED FIR,18
420,08N4113WL,SPRUCE,10
421,08N4114WL,FIR,24
422,08N4121WL,PINE,32
423,08N4122WL,SPRUCE,30
424,08N4123WL,FIR,14
425,08N4124EL,WHITE FIR,16
426,08N4124WL,WESTERN LARCH,12
427,08N4125EL,WHITE FIR,5
428,08N4125WL,WHITE FIR,27
429,08N4126WL,RED FIR,28
430,08N4130WL,FIR,30
431,08N4131SL,FIR,9
432,08N4131WL,FIR,24
433,08N4132SL,SPRUCE,45
434,08N4132WL,FIR,60
435,08N4134SL,WHITE FIR,26
436,08N4135SL,WHITE FIR,20
437,08S2601NL,YELLOW PINE,16
438,08S2502NL,YELLOW PINE,30
439,08S2607WL,YELLOW PINE,12
440,08S2608NL,YELLOW PINE,10
441,08S2609WL,RED FIR,10
442,08S2611NL,WESTERN LARCH,14
443,08S2612EL,YELLOW PINE,36
