OID,IDTRSD,TreeSpecie,TreeDia,TreeDist
339,01S3524NE,PINE,14,162
340,01S3524NW,WESTERN LARCH,3,42
341,01S3524W,PINE,9,29
342,01S3525N,PINE,12,69
343,01S3525NE,FIR,18,23
344,01S3525NW,PINE,9,8
345,01S3525W,FIR,10,19
346,01S3526N,FIR,7,22
347,01S3526NW,WESTERN LARCH,10,17
348,01S3526W,WESTERN LARCH,9,21
349,01S3527N,FIR,8,25
350,01S3732NW,PINE,5,27
351,01S3732W,FIR,7,11
352,01S3733NW,PINE,30,74
353,01S3733W,FIR,18,23
354,01S3805NW,MAHOGANY,4,57
355,01S3805W,FIR,6,56
356,01S3806NW,SPRUCE,8,25
357,01S3806W,WHITE FIR,6,62
358,01S3807NW,WHITE FIR,14,15
359,01S3807W,WHITE FIR,7,10
360,01S3808NW,PINE,28,225
361,01S3808W,WESTERN LARCH,10,18
362,01S3818N,FIR,36,30
363,01S3818NW,WHITE FIR,8,23
364,02N3601E,FIR,20,47
365,02N3601NE,FIR,10,28
366,02N3601NW,FIR,6,150
367,01S3527NW,PINE,30,42
368,01S3527W,WESTERN LARCH,4,10
369,01S3528N,PINE,6,4
370,01S3531NW,WESTERN LARCH,5,45
371,01S3532SW,PINE,10,54
372,01S3532W,PINE,36,35
373,01S3533N,FIR,6,34
374,01S3534NW,WESTERN LARCH,3,42
375,01S3534SW,WESTERN LARCH,17,82
376,02N3628N,FIR,20,21
377,02N3628NW,PINE,8,168
378,02N3629NW,FIR,7,55
379,02N3629W,PINE,15,160
380,02N3630N,FIR,14,28
381,01S3534W,FIR,20,9
382,01S3535N,SPRUCE,12,26
383,01S3535NW,FIR,36,15
384,01S3535S,FIR,14,6
385,01S3535SW,FIR,10,23
386,01S3535W,SPRUCE,8,67
387,01S3536N,FIR,6,12
388,01S3536NE,FIR,24,26
389,01S3536NW,FIR,15,23
390,01S3536S,FIR,16,58
391,01S3536SW,PINE,12,14
392,01S3536W,PINE,6,118
393,01S3601NW,PINE,36,125
394,01S3601W,PINE,20,112
395,01S3619W,FIR,10,9
396,01S3620N,PINE,5,62
397,01S3620NW,FIR,10,80
398,01S3620W,PINE,36,100
399,01S3621NW,FIR,5,9
400,01S3621W,FIR,6,12
401,01S3622N,FIR,14,79
402,01S3622NW,PINE,8,290
403,01S3622W,PINE,4,25
404,01S3623W,PINE,20,39
405,01S3624NE,PINE,8,23
406,01S3624NW,PINE,5,214
407,01S3625N,FIR,12,30
408,01S3625NE,PINE,40,61
409,01S3625NW,FIR,5,150
410,01S3627NW,WESTERN LARCH,10,17
411,01S3627W,WESTERN LARCH,8,30
412,01S3628N,PINE,5,37
413,01S3628NW,FIR,8,44
414,01S3628W,FIR,5,2
415,01S3629N,PINE,11,62
416,01S3629NW,PINE,28,76
417,01S3629W,FIR,3,33
418,01S3630N,FIR,8,11
419,01S3630NW,FIR,18,23
420,01S3630W,FIR,12,28
