FILEID,STUSAB,SUMLEVEL,COMPONENT,LOGRECNO,US,REGION,DIVISION,STATECE,STATE,COUNTY,COUSUB,PLACE,TRACT,BLKGRP,CONCIT,AIANHH,AIANHHFP,AIHHTLI,AITSCE,AITS,ANRC,CBSA,CSA,METDIV,MACC,MEMI,NECTA,CNECTA,NECTADIV,UA,BLANK,CDCURR,SLDU,SLDL,BLANK,BLANK,ZCTA5,SUBMCD,SDELM,SDSEC,SDUNI,UR,PCI,BLANK,BLANK,PUMA5,BLANK,GEOID,NAME,BTTR,BTBG,BLANK
ACSSF,OR,795,0,59,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,902,,79500US4100902,"Jackson County (Outside Medford & Central Point Cities)--Ashland City PUMA, Oregon",,,
ACSSF,OR,795,0,60,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000,,79500US4101000,"Douglas County PUMA, Oregon",,,
ACSSF,OR,795,0,61,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1103,,79500US4101103,"Marion County (West Central)--Salem (North), Keizer Cities & Hayesville PUMA; Oregon",,,
ACSSF,OR,795,0,62,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1104,,79500US4101104,"Marion County (West Central)--Salem City (South) & Four Corners PUMA, Oregon",,,
ACSSF,OR,795,0,63,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1105,,79500US4101105,"Marion County (Outside Salem & Keizer Cities)--Woodburn & Silverton Cities PUMA, Oregon",,,
ACSSF,OR,795,0,64,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,79500US4101200,"Yamhill & Polk Counties PUMA, Oregon",,,
ACSSF,OR,795,0,65,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1301,,79500US4101301,"Portland City (North & Northeast) PUMA, Oregon",,,
ACSSF,OR,795,0,66,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1302,,79500US4101302,"Portland City (East) PUMA, Oregon",,,
ACSSF,OR,795,0,67,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1303,,79500US4101303,"Portland City (Southeast) PUMA, Oregon",,,
ACSSF,OR,795,0,68,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1305,,79500US4101305,"Portland City (Central East) PUMA, Oregon",,,
ACSSF,OR,795,0,69,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1314,,79500US4101314,"Portland City (Northwest & Southwest) PUMA, Oregon",,,
ACSSF,OR,795,0,70,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1316,,79500US4101316,"Multnomah County (East)--Gresham & Troutdale Cities PUMA, Oregon",,,
ACSSF,OR,795,0,71,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1317,,79500US4101317,"Clackamas County (South & East)--Damascus City PUMA, Oregon",,,
ACSSF,OR,795,0,72,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,,79500US4101318,"Clackamas County (Northwest)--Oregon City, Milwaukie & Happy Valley Cities PUMA; Oregon",,,
ACSSF,OR,795,0,73,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1319,,79500US4101319,"Clackamas County (Northwest)--Lake Oswego, West Linn, Wilsonville & Canby Cities PUMA; Oregon",,,
ACSSF,OR,795,0,74,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1320,,79500US4101320,"Washington County (Southeast)--Tigard, Tualatin & Sherwood Cities PUMA; Oregon",,,
ACSSF,OR,795,0,75,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1321,,79500US4101321,"Washington County (West)--Forest Grove, Cornelius Cities, Bethany & Oak Hills PUMA; Oregon",,,
ACSSF,OR,795,0,76,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1322,,79500US4101322,"Washington County (Central)--Hillsboro City PUMA, Oregon",,,
ACSSF,OR,795,0,77,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1323,,79500US4101323,"Washington County (Central)--Beaverton City (West) & Aloha PUMA, Oregon",,,
ACSSF,OR,795,0,78,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1324,,79500US4101324,"Washington County (Northeast)--Beaverton City (East & Central) & Cedar Mill PUMA, Oregon",,,
ACSSF,OR,970,0,79,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,97000US4100023,"Hillsboro School District 1J, Oregon",,,
ACSSF,OR,970,0,80,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1120,,,,,,,97000US4101120,"Greater Albany School District 8J, Oregon",,,
ACSSF,OR,970,0,81,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,,,,,,,97000US4101920,"Beaverton School District 48J, Oregon",,,
ACSSF,OR,970,0,82,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1980,,,,,,,97000US4101980,"Bend-La Pine Administrative School District 1, Oregon",,,
ACSSF,OR,970,0,83,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3480,,,,,,,97000US4103480,"Corvallis School District 509J, Oregon",,,
ACSSF,OR,970,0,84,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4740,,,,,,,97000US4104740,"Eugene School District 4J, Oregon",,,
ACSSF,OR,970,0,85,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,,,,,,97000US4106000,"Gresham-Barlow School District 1J, Oregon",,,
ACSSF,OR,970,0,86,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8040,,,,,,,97000US4108040,"Medford School District 549, Oregon",,,
ACSSF,OR,970,0,87,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8830,,,,,,,97000US4108830,"North Clackamas School District 12, Oregon",,,
ACSSF,OR,970,0,88,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10040,,,,,,,97000US4110040,"Portland School District 1J, Oregon",,,
ACSSF,OR,970,0,89,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10520,,,,,,,97000US4110520,"Reynolds School District 7, Oregon",,,
ACSSF,OR,970,0,90,,,,,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10820,,,,,,,97000US4110820,"Salem-Keizer School District 24J, Oregon",,,
